,Date,Trips over the past 24-hours (midnight to 11:59pm),Miles traveled today (midnight to 11:59 pm),Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),3-Day Passes Purchased (midnight to 11:59 pm)
73,3/15/2018,39572,72192,256724,462,66
74,3/16/2018,34921,62381,256763,383,55
75,3/17/2018,27671,62524,256823,1015,56
76,3/18/2018,25158,55182,256880,839,36
77,3/19/2018,39278,83086,256933,544,39
78,3/20/2018,35532,69573,256986,187,17
79,3/21/2018,3755,11799,257004,3,1
80,3/22/2018,27308,61715,257040,216,25
81,3/23/2018,38527,77668,257098,543,55
82,3/24/2018,34396,79562,257167,1755,88
83,3/25/2018,25562,62656,257226,710,24
84,3/26/2018,40295,88831,257315,718,87
85,3/27/2018,41354,88986,257378,524,63
86,3/28/2018,41880,80607,257447,586,64
87,3/29/2018,39288,84590,257501,544,65
88,3/30/2018,34784,78825,257584,1006,147
89,3/31/2018,41779,109399,257701,3856,151
90,7/1/18,45265,120484,274813,4209,211
91,7/2/18,58633,130122,275016,2702,241
92,7/3/18,54882,113998,275157,2358,199
93,7/4/18,48368,136287,275304,5662,250
94,7/5/18,59471,133659,275487,3344,264
95,7/6/18,49504,111660,275614,2650,189
96,7/7/18,60916,173852,275793,7284,349
97,7/8/18,60486,171826,275988,6667,310
98,7/9/18,70063,153650,276203,3103,283
99,7/10/18,72501,147441,276399,2999,227
100,7/11/18,73011,163349,276553,3049,170
101,7/12/18,74857,161182,276703,3520,231
102,7/13/18,72113,156285,276858,3998,294
103,7/14/18,62556,157266,277000,7241,334
104,7/15/18,52295,132234,277133,5121,248
105,7/16/18,67072,146307,277344,3101,278
106,7/17/18,48495,97913,277466,1558,129
107,7/18/18,75706,169481,277703,3578,247
108,7/19/18,78004,141327,277891,3938,280
109,7/20/18,74539,136511,278052,4590,275
110,7/21/18,53651,114977,278195,6266,309
111,7/22/18,44284,87253,278338,4316,244
112,7/23/18,53074,88170,278458,2277,152
113,7/24/18,69754,117924,278651,2957,162
114,7/25/18,42988,66587,278742,1474,124
115,7/26/18,71065,122885,278874,3321,252
116,7/27/18,49224,82987,278993,2526,251
117,7/28/18,61543,129505,279147,7004,361
118,7/29/18,63472,137343,279321,7244,250
119,7/30/18,69512,123639,279509,3490,333
120,7/31/18,76253,134233,279702,3637,246
121,8/1/18,64467,106881,279888,2673,185
122,8/2/18,69711,118282,280110,2998,217
123,8/3/18,61962,105765,280279,3145,247
124,8/4/18,51200,104541,280498,5352,198
125,8/5/18,58379,122656,280721,6289,309
126,8/6/18,65686,112585,280922,3022,281
127,8/7/18,64351,106678,281097,2640,201
128,8/8/18,70577,120473,281275,2911,267
129,8/9/18,71976,124150,281441,3379,238
130,8/10/18,69617,123534,281572,4266,280
131,8/11/18,36607,69505,281689,2994,141
132,8/12/18,59834,125265,281881,6407,281
133,8/13/18,44273,70501,281991,1563,82
134,8/14/18,63733,107144,282169,2592,211
135,8/15/18,73124,128453,282317,3565,266
136,8/16/18,70825,123444,282471,3511,276
137,8/17/18,63316,109405,282583,3563,232
138,8/18/18,57284,125508,282795,6672,351
139,8/19/18,45874,86651,282943,3926,155
140,8/20/18,67589,118793,283162,3312,224
141,8/21/18,75214,132261,283358,3683,257
142,8/22/18,72614,125978,283543,3366,225
143,8/23/18,73877,130310,283720,3975,331
144,8/24/18,72894,132952,283884,4794,320
145,8/25/18,64683,140537,284066,7535,345
146,8/26/18,60954,132223,284268,6928,302
147,8/27/18,67630,116967,284457,3350,242
148,8/28/18,66638,110486,284667,2814,150
149,8/29/18,65903,107006,284791,2766,171
150,8/30/18,67900,113385,284938,3218,164
151,8/31/18,58922,97818,285087,3186,180
152,9/1/18,54318,116904,285245,6711,439
153,9/2/18,60828,140923,285368,5562,292
154,9/3/18,55067,117164,285609,6239,279
155,9/4/18,68655,114264,285867,2793,215
156,9/5/18,74981,124919,286102,2934,191
157,9/6/18,70264,113123,286304,2678,207
158,9/7/18,74586,127470,286475,3523,227
159,9/8/18,58284,111254,286637,5442,270
160,9/9/18,19950,30544,286752,895,16
161,9/10/18,23949,32472,286847,463,26
162,9/11/18,66552,109380,286985,2456,193
163,9/12/18,53241,82748,287120,1650,115
164,9/13/18,74054,123401,287262,2874,197
165,9/14/18,74330,128288,287412,3623,298
166,9/15/18,71185,149524,287622,7570,353
167,9/16/18,69515,150281,287897,7410,270
168,9/17/18,71340,118809,288137,2914,162
169,9/18/18,53077,82768,288266,1433,74
170,9/19/18,74372,129089,288450,3529,290
171,9/20/18,76803,129385,288599,3130,235
172,9/21/18,74940,128273,288719,3677,224
173,9/22/18,69133,142121,289160,7511,298
174,9/23/18,55494,104944,289370,4716,184
175,9/24/18,71631,115888,289524,2615,289
176,9/25/18,25430,35795,289591,506,65
177,9/26/18,68007,110772,289698,2423,296
178,9/27/18,75370,126480,289829,3044,399
179,9/28/18,57230,90249,289911,1986,296
180,9/29/18,69321,145920,290170,6960,906
181,9/30/18,66224,139423,290467,6367,675
182,4/1/18,33148,94040,257811,2363,264
183,4/2/18,22062,50418,257889,297,20
184,4/3/18,25883,59477,257942,189,21
185,4/4/18,36755,80049,258025,611,48
186,4/5/18,39814,87382,258086,972,112
187,4/6/18,35624,83643,258143,918,101
188,4/7/18,33245,79955,258231,1661,129
189,4/8/18,28410,67056,258324,1271,75
190,4/9/18,40509,87612,258423,614,62
191,4/10/18,43051,89629,258498,475,37
192,4/11/18,48612,104081,258599,894,114
193,4/12/18,53168,114400,258754,1095,146
194,4/13/18,63503,150894,258926,3168,262
195,4/14/18,62595,185232,259171,7643,346
196,4/15/18,20440,58497,259252,525,21
197,4/16/18,26288,65284,259344,452,31
198,4/17/18,44689,104884,259470,589,85
199,4/18/18,51110,112664,259583,996,152
200,4/19/18,38298,79890,259704,407,52
201,4/20/18,47049,101982,259820,1241,133
202,4/21/18,63594,179681,260015,3142,214
203,4/22/18,54282,149532,260257,5399,265
204,4/23/18,57764,131224,260545,1976,191
205,4/24/18,58523,126491,260740,1529,159
206,4/25/18,31213,63086,260861,403,36
207,4/26/18,66074,150788,261062,2578,294
208,4/27/18,39153,85566,261172,823,70
209,4/28/18,56735,158334,261434,6129,369
210,4/29/18,44825,130649,261651,3594,266
211,4/30/18,41074,91215,261874,751,66
212,5/1/18,72035,173896,262154,3155,390
213,5/2/18,76773,189852,262535,3270,329
214,5/3/18,69053,165326,262816,2931,282
215,5/4/18,71197,177291,263103,3595,360
216,5/5/18,63325,167568,263371,6557,334
217,5/6/18,48993,120205,263632,3484,289
218,5/7/18,68915,156297,263992,2973,311
219,5/8/18,74310,174749,264308,3046,356
220,5/9/18,78454,183295,264589,3038,303
221,5/10/18,67454,153260,264852,2408,275
222,5/11/18,75262,184114,265052,4240,314
223,5/12/18,34535,91563,265150,2227,92
224,5/13/18,25985,67247,265260,1237,58
225,5/14/18,64727,147144,265465,2553,273
226,5/15/18,52826,118790,265682,1949,186
227,5/16/18,32766,75694,265811,493,45
228,5/17/18,49788,107763,265936,1755,113
229,5/18/18,63112,146437,266075,2663,240
230,5/19/18,18026,45461,266135,639,53
231,5/20/18,56946,158983,266399,5458,304
232,5/21/18,71218,172936,266669,3551,267
233,5/22/18,48508,109420,266868,1090,103
234,5/23/18,72653,170812,267098,2952,294
235,5/24/18,74808,177631,267330,3417,294
236,5/25/18,69342,174715,267536,4381,336
237,5/26/18,51592,155957,267703,6129,417
238,5/27/18,25813,78075,267815,1631,82
239,5/28/18,49040,140226,268037,5148,267
240,5/29/18,69090,170334,268305,2896,249
241,5/30/18,72321,159297,268645,2742,216
242,5/31/18,55798,123710,268998,1414,101
243,6/1/18,62890,147780,269167,3049,250
244,6/2/18,60287,158528,269371,5634,307
245,6/3/18,50041,134416,269544,3892,154
246,6/4/18,58910,130774,269763,2372,166
247,6/5/18,71906,155007,269934,2682,199
248,6/6/18,69797,154726,270119,2479,173
249,6/7/18,70478,160532,270274,2808,198
250,6/8/18,72696,163188,270455,3915,283
251,6/9/18,65239,171623,270657,6917,292
252,6/10/18,41639,106867,270825,3136,112
253,6/11/18,68060,154381,271146,3044,243
254,6/12/18,76255,166828,271364,3260,215
255,6/13/18,64270,144934,271541,2044,104
256,6/14/18,75803,173109,271708,3359,227
257,6/15/18,72417,160081,271883,4005,296
258,6/16/18,63182,165240,272071,7037,339
259,6/17/18,56218,146611,272306,5760,232
260,6/18/18,63551,136481,272522,2498,206
261,6/19/18,72168,153883,272780,2902,230
262,6/20/18,74088,165836,272950,2929,231
263,6/21/18,70050,158375,273114,3026,262
264,6/22/18,71084,156062,273291,3736,263
265,6/23/18,51028,118620,273422,4172,207
266,6/24/18,55775,152057,273615,5862,232
267,6/25/18,71747,163026,273820,3441,221
268,6/26/18,80643,171973,274006,3442,254
269,6/27/18,67647,140557,274165,2457,183
270,6/28/18,50431,104860,274290,1967,154
271,6/29/18,69856,151785,274467,3940,326
272,6/30/18,54713,134347,274628,5425,360
273,10/1/18,71387,120257,290631,2618,307
274,10/2/18,73113,122234,290788,2666,195
275,10/3/18,76769,129720,290947,3141,199
276,10/4/18,70698,116337,291073,2838,222
277,10/5/18,74744,129597,291166,3979,254
278,10/6/18,57599,110421,291298,5658,310
279,10/7/18,60753,127033,291425,6936,277
280,10/8/18,58256,95097,291549,2865,121
281,10/9/18,74251,123973,291672,2846,207
282,10/10/18,77317,132255,291765,3115,202
283,10/11/18,46862,70173,291862,1323,59
284,10/12/18,67686,113055,291962,3453,255
285,10/13/18,54747,100652,292029,2430,125
286,10/14/18,54297,103697,292158,4805,204
287,10/15/18,59181,92219,292262,1958,95
288,10/16/18,66661,104171,292370,2200,158
289,10/17/18,67868,107762,292469,2341,134
290,10/18/18,61668,94356,292519,1969,143
291,10/19/18,64735,105730,292604,3012,192
292,10/20/18,56281,109142,292711,5644,309
293,10/21/18,39192,64764,292811,2488,100
294,10/22/18,57919,88293,292899,1721,133
295,10/23/18,68086,110293,292992,2356,181
296,10/24/18,64203,98615,293077,1942,97
297,10/25/18,61637,95827,293309,2003,146
298,10/26/18,59861,92569,293508,2292,131
299,10/27/18,13124,17949,293542,333,11
300,10/28/18,42502,74540,293611,3134,154
301,10/29/18,60028,92882,293722,1853,156
302,10/30/18,65545,102834,293819,1957,141
303,10/31/18,68447,114039,294007,2544,225
304,11/1/18,74260,128502,294111,3288,245
305,11/2/18,63746,105906,294186,2817,237
306,11/3/18,49127,89639,294256,4200,199
307,11/4/18,50713,98021,294329,5107,99
308,11/5/18,33345,47328,294396,776,31
309,11/6/18,40271,56313,294442,1186,29
310,11/7/18,67925,112354,294527,2590,189
311,11/8/18,64441,103621,294595,2191,146
312,11/9/18,36952,54282,294647,1064,63
313,11/10/18,37809,63740,294689,2649,132
314,11/11/18,36612,64197,294744,2763,78
315,11/12/18,51341,79338,294792,1707,79
316,11/13/18,36957,52453,294838,751,27
317,11/14/18,49621,70932,294882,935,30
318,11/15/18,24948,35594,294900,407,24
319,11/16/18,34447,49576,294915,761,48
320,11/17/18,37974,61206,294951,2257,56
321,11/18/18,34390,55093,294988,1916,45
322,11/19/18,54540,83935,295037,1522,84
323,11/20/18,51910,75746,295070,1259,37
324,11/21/18,40417,58441,295112,1050,39
325,11/22/18,8798,12626,295200,369,20
326,11/23/18,16107,23143,295439,597,26
327,11/24/18,20087,32011,295530,1137,41
328,11/25/18,34519,60831,295688,2521,36
329,11/26/18,29189,42333,296251,499,18
330,11/27/18,49979,74556,296351,802,31
331,11/28/18,48433,69352,296405,777,29
332,11/29/18,51468,76715,296452,1054,51
333,11/30/18,46001,67098,296497,1065,47
334,12/1/18,37989,62304,296553,2256,37
335,12/2/18,18418,26501,296584,554,11
336,12/3/18,53974,85524,296664,1308,62
337,12/4/18,49058,71843,296708,867,27
338,12/5/18,46779,67536,296753,814,38
339,12/6/18,46543,66885,296798,910,40
340,12/7/18,43841,63353,296843,948,52
341,12/8/18,29909,44552,296867,1271,46
342,12/9/18,27547,40886,296897,1064,23
343,12/10/18,43358,62699,296938,762,25
344,12/11/18,47335,68321,296974,823,20
345,12/12/18,47717,68600,297005,748,28
346,12/13/18,40736,57295,297042,593,14
347,12/14/18,44775,66633,297078,1137,44
348,12/15/18,36423,57244,297119,1902,45
349,12/16/18,9835,13599,297131,203,4
350,12/17/18,45382,66449,297173,909,32
351,12/18/18,41703,58360,297205,656,22
352,12/19/18,44096,63165,297238,877,22
353,12/20/18,34026,48713,297269,751,20
354,12/21/18,23996,34450,297290,481,24
355,12/22/18,24870,36653,297327,1088,25
356,12/23/18,22230,35921,297355,1298,37
357,12/24/18,18990,27246,297387,681,18
358,12/25/18,11177,21483,297426,1080,38
359,12/26/18,25358,39176,297487,1118,49
360,12/27/18,31169,48943,297527,1510,51
361,12/28/18,12039,17576,297555,334,25
362,12/29/18,29037,54116,297622,2677,104
363,12/30/18,22536,37741,297682,1562,51
364,12/31/18,18936,29794,297748,962,31
365,1/1/2019,22145,44131,297823,2429,49
366,1/2/2019,38249,58975,297908,1062,36
367,1/3/2019,42181,62500,297976,969,31
368,1/4/2019,44420,65739,298017,1173,33
369,1/5/2019,17636,24326,298048,462,8
370,1/6/2019,31764,50481,298094,1711,31
371,1/7/2019,36928,52310,298152,514,18
372,1/8/2019,41728,60469,298218,654,23
373,1/9/2019,44882,63480,298263,646,23
374,1/10/2019,39449,53225,298299,478,13
375,1/11/2019,33196,44226,298331,465,23
376,1/12/2019,25431,35133,298361,772,26
377,1/13/2019,23020,33018,298399,700,18
378,1/14/2019,35408,48021,298439,402,9
379,1/15/2019,39538,54751,298470,511,19
380,1/16/2019,40854,56553,298510,513,7
381,1/17/2019,39417,53430,298546,463,14
382,1/18/2019,34478,47215,298574,542,27
383,1/19/2019,23933,34580,298595,865,28
384,1/20/2019,14440,19131,298616,368,8
385,1/21/2019,10392,11911,298632,141,5
386,1/22/2019,28913,37788,298665,315,14
387,1/23/2019,42028,59442,298692,526,10
388,1/24/2019,20328,27931,298721,260,7
389,1/25/2019,39298,54567,298748,621,21
390,1/26/2019,26607,38634,298778,933,18
391,1/27/2019,30338,48280,298828,1510,19
392,1/28/2019,36173,49109,298878,448,13
393,1/29/2019,31355,42066,298919,341,12
394,1/30/2019,25496,33178,298947,263,8
395,1/31/2019,18882,22917,298975,186,8
396,2/1/2019,25289,31752,298998,255,11
397,2/2/2019,22280,30802,299032,627,19
398,2/3/2019,32274,52757,299103,1743,24
399,2/4/2019,47049,73262,299172,1180,42
400,2/5/2019,54710,87917,299249,1770,42
401,2/6/2019,39616,55696,299296,754,27
402,2/7/2019,43840,62728,299341,765,22
403,2/8/2019,36964,52442,299383,864,22
404,2/9/2019,24041,33607,299409,811,10
405,2/10/2019,24434,35873,299449,935,6
406,2/11/2019,39197,54362,299493,563,20
407,2/12/2019,16044,22190,299521,150,4
408,2/13/2019,35523,48870,299551,439,21
409,2/14/2019,42313,61381,299589,773,26
410,2/15/2019,47524,74286,299633,1590,58
411,2/16/2019,31347,52760,299683,2030,58
412,2/17/2019,24287,39660,299711,1439,30
413,2/18/2019,26176,37500,299757,810,17
414,2/19/2019,35226,49024,299810,595,10
415,2/20/2019,20694,28763,299835,221,15
416,2/21/2019,40082,60375,299871,961,37
417,2/22/2019,42338,61956,299913,1097,49
418,2/23/2019,31956,49887,299956,1635,28
419,2/24/2019,24503,37473,299993,992,19
420,2/25/2019,34736,47207,300029,495,14
421,2/26/2019,38126,52805,300067,524,23
422,2/27/2019,37028,48666,300097,464,27
423,2/28/2019,38784,53031,300157,652,30
424,3/1/2019,30242,41583,300183,522,26
425,3/2/2019,18001,27381,300213,570,25
426,3/3/2019,23240,35764,300264,1115,22
427,3/4/2019,28424,39154,300319,563,23
428,3/5/2019,37103,50155,300367,552,24
429,3/6/2019,33287,42845,300409,376,27
430,3/7/2019,35913,46582,300450,468,15
431,3/8/2019,40416,55748,300503,852,32
432,3/9/2019,38929,68739,300574,3010,35
433,3/10/2019,18897,28056,300611,662,16
434,3/11/2019,52412,80705,300691,1749,56
435,3/12/2019,47214,66518,300757,1003,40
436,3/13/2019,50121,71552,300825,1194,42
437,3/14/2019,57464,86864,300904,1826,82
